,gene_name
290,YALI0C24233g
291,YALI0E00836g
292,YALI0C06776g
293,YALI0D08558g
294,YALI0E31797g
295,YALI0B13970g
296,YALI0D03333g
297,YALI0B03630g
298,YALI0F31735g
299,YALI0C01419g
300,YALI0E22649g
301,YALI0F09339g
302,YALI0E12628g
303,YALI0F03201g
304,YALI0E10144g
305,YALI0E19723g
306,YALI0F03567g
307,YALI0F04103g
308,YALI0F04
309,YALI0E16709g
310,YALI0C13090g
311,YALI0A02310g
312,YALI0C12210g
313,YALI0F24
314,YALI0E34037g
315,YALI0F01771g
316,YALI0F08613g
317,YALI0A17468g
318,YALI0A02915g
319,YALI0B01540g
320,YALI0D03069g
321,YALI0C06798g
322,YALI0D16753g
323,YALI0E14190g
324,YALI0B21428g
325,YALI0E16346g
326,YALI0D22484g
327,YALI0F04169g
328,YALI0F00924g
329,YALI0F02123g
330,YALI0D05467g
331,YALI0B00792g
332,YALI0D00737g
333,YALI0E05599g
334,YALI0B20372g
335,YALI0C11803g
336,YALI0F13541g
337,YALI0C03674g
338,YALI0B15598g
339,YALI0E30129g
340,YALI0C16753g
341,YALI0F08415g
342,YALI0E09603g
343,YALI0E11671g
344,YALI0C19085g
345,YALI0E02090g
346,YALI0E02244g
347,YALI0B15304g
348,YALI0B19998g
349,YALI0E28468g
350,YALI0E17919g
351,YALI0E20713g
352,YALI0C21626g
353,YALI0F00462g
354,YALI0F00484g
355,YALI0D06974g
356,YALI0E14597g
357,YALI0B16104g
358,YALI0C11880g
359,YALI0E18029g
360,YALI0E02310g
361,YALI0C17831g
362,YALI0C20669g
363,YALI0C11363g
364,YALI0E02288g
365,YALI0E16753g
366,YALI0B06941g
367,YALI0F01628g
368,YALI0E06479g
369,YALI0E15378p
370,YALI0E18964g
371,YALI0E28248g
372,YALI0D14762g
373,YALI0D17556g
374,YALI0E09276g
375,YALI0E13662g
376,YALI0B16126g
377,YALI0F23727g
378,YALI0F05610g
379,YALI0C18755g
380,YALI0D27016g
381,YALI0B14531g
382,YALI0F25641g
383,YALI0C15554g
384,YALI0E20207g
385,YALI0A15950g
386,YALI0E05049g
387,YALI0E13123g
388,YALI0B22902g
389,YALI0F26609g
390,YALI0E04807g
391,YALI0F30481g
392,YALI0E04224g
393,YALI0B09647g
394,YALI0E12441g
395,YALI0E06061g
396,YALI0F13453g
397,YALI0E01254g
398,YALI0F20328g
399,YALI0F31999g
400,YALI0C16885g
401,YALI0C07128g
402,YALI0E33957g
403,YALI0D03480g
404,YALI0D21604g
405,YALI0D08514g
406,YALI0D01265g
407,YALI0C10780g
408,YALI0A00264g
409,YALI0D21530g
410,YALI0D06930g
411,YALI0E16434g
412,YALI0F04015g
413,YALI0B07447g
414,YALI0F21527g
415,YALI0D04741g
416,YALI0E24013g
417,YALI0C10901g
418,YALI0F05962g
419,YALI0D09867g
420,YALI0F31075g
421,YALI0E24607g
422,YALI0F02299g
423,YALI0E24057g
424,YALI0B23298g
425,YALI0D19206g
426,YALI0F16291g
427,YALI0D23639g
428,YALI0E21307g
429,YALI0D24607g
430,YALI0E15708g
431,YALI0D19140g
432,YALI0A14212g
433,YALI0C22165g
434,YALI0B17644g
435,YALI0F11297g
436,YALI0E18634g
437,YALI0B14509g
438,YALI0D17402g
439,YALI0F29843g
440,YALI0D03619g
441,YALI0F25795g
442,YALI0B16038g
443,YALI0F05632g
444,YALI0B05126G
445,YALI0E12683g
446,YALI0D04378g
447,YALI0B04312g
448,YALI0B18898g
449,YALI0F04378p
450,YALI0E06193g
451,YALI0F08283g
452,YALI0E15730g
453,YALI0D04422g
454,YALI0E27874g
455,YALI0E17963g
456,YALI0A20108g
457,YALI0B00220g
458,YALI0C00759g
459,YALI0C17941g
460,YALI0F09229g
461,YALI0A10076g
462,YALI0E25652g
463,YALI0A21153g
464,YALI0E07073g
465,YALI0A08217g
466,YALI0C19866g
467,YALI0C19712g
468,YALI0B07359g
469,YALI0F29139g
470,YALI0E02728g
471,YALI0D10593g
472,YALI0E04048g
473,YALI0F02497g
474,YALI0E00770g
475,YALI0C18205g
476,YALI0A09042g
477,YALI0D22891g
478,YALI0E06413g
479,YALI0B11330g
480,YALI0C04433g
481,YALI0B15444g
482,YALI0D02497g
483,YALI0D02629g
484,YALI0B06006g
485,YALI0E32527g
486,YALI0A08041g
487,YALI0D14322g
488,YALI0C06303g
489,YALI0F27885g
490,YALI0D21010g
491,YALI0B22066g
492,YALI0F23903g
493,YALI0E27203g
494,YALI0C23298g
495,YALI0B13794g
