,1,2,3,4,5,6,7,8,9,10
TALA,3.5162,4.405734,5.291987,5.722276,6.141436,6.560596,6.979756,6.601896,5.878779,5.155662
ACLSm,5.054517,5.752728,6.449712,7.132073,7.814378,8.496683,9.178989,9.834086,10.477388,11.120691
DHAD1m,5.054517,5.752728,6.449712,7.132073,7.814378,8.496683,9.178989,9.834086,10.477388,11.120691
TKT1,3.5162,4.405734,5.291987,5.722276,6.141436,6.560596,6.979756,6.601896,5.878779,5.155662
IPMD,4.939734,5.648122,6.355329,7.048461,7.74154,8.434618,9.127697,9.794587,10.450125,11.105663
IPPMIa,-4.939734,-5.648122,-6.355329,-7.048461,-7.74154,-8.434618,-9.127697,-9.794587,-10.450125,-11.105663
IPPMIb,-4.939734,-5.648122,-6.355329,-7.048461,-7.74154,-8.434618,-9.127697,-9.794587,-10.450125,-11.105663
IPPSm,4.939734,5.648122,6.355329,7.048461,7.74154,8.434618,9.127697,9.794587,10.450125,11.105663
KARA1im,5.054517,5.752728,6.449712,7.132073,7.814378,8.496683,9.178989,9.834086,10.477388,11.120691
ZYMSTt,-0.1755,-0.351,-0.526563,-0.702874,-0.879187,-1.0555,-1.231813,-1.409517,-1.587824,-1.766131
OMCDC,4.939734,5.648122,6.355329,7.048461,7.74154,8.434618,9.127697,9.794587,10.450125,11.105663
LEUDH,4.812938,5.532568,6.251068,6.956099,7.661078,8.366058,9.071037,9.750955,10.420008,11.089062
MBCOAi,4.812938,5.532568,6.251068,6.956099,7.661078,8.366058,9.071037,9.750955,10.420008,11.089062
MCCC,4.812938,5.532568,6.251068,6.956099,7.661078,8.366058,9.071037,9.750955,10.420008,11.089062
MGCH,4.812938,5.532568,6.251068,6.956099,7.661078,8.366058,9.071037,9.750955,10.420008,11.089062
DMATTmodi,0.664078,0.987319,1.310561,1.633802,1.957044,2.280286,2.603527,2.926769,3.25001,3.573252
GRTTmodi,0.664078,0.987319,1.310561,1.633802,1.957044,2.280286,2.603527,2.926769,3.25001,3.573252
SQLS,0.33203879999999997,0.4936596,0.6552804,0.8169012,0.9785219999999999,1.1401428,1.3017636,1.4633844,1.6250052000000001,1.7866259999999998
