,1,2,3,4,5,6,7,8,9,10
H2Ot,-37.95566,-39.849601,-41.321933,-42.794265,-44.266598,-45.73893,-47.211263,-48.683595,-50.155927,-51.62826
PIt2m,6.376386,6.560055,6.743725,6.927395,7.111064,7.294734,7.478403,7.662073,7.845742,8.029412
3C3HMPtm,-5.652575,-6.684656,-7.716737,-8.748818,-9.7809,-10.812981,-11.845062,-12.877143,-13.909225,-14.941306
ATPtm_H,6.204314,6.405001,6.605689,6.806377,7.007064,7.207752,7.40844,7.609128,7.809815,8.010503
CO2tm,-20.8185,-24.048914,-27.700936,-31.352959,-35.004981,-38.657004,-42.309026,-45.961049,-49.613072,-53.265094
NH4tm,-2.050512,-2.36372,-3.098535,-3.833351,-4.568167,-5.302983,-6.037799,-6.772615,-7.507431,-8.242247
O2tm,2.467892,2.71832,2.968748,3.219177,3.469605,3.720033,3.970462,4.22089,4.471319,4.721747
PYRt2m,12.399558,14.355482,16.311406,18.267331,20.223255,22.179179,24.135103,26.091028,28.046952,30.002876
SERt2m,1.98649,2.306029,3.047177,3.788325,4.529472,5.27062,6.011768,6.752916,7.494063,8.235211
THFtm,3.966662,4.606365,6.089285,7.572206,9.055126,10.538047,12.020967,13.503887,14.986808,16.469728
THRA,3.701938,5.127645,6.553352,7.979058,9.404765,10.830472,12.256179,13.681885,15.107592,16.533299
ACLSm,5.777074,6.796842,7.81661,8.836379,9.856147,10.875915,11.895683,12.915451,13.935219,14.954987
THRS,3.917177,5.321596,6.726015,8.130435,9.534854,10.939274,12.343693,13.748112,15.152532,16.556951
DHAD1m,5.777074,6.796842,7.81661,8.836379,9.856147,10.875915,11.895683,12.915451,13.935219,14.954987
IPMD,5.652575,6.684656,7.716737,8.748818,9.7809,10.812981,11.845062,12.877143,13.909225,14.941306
IPPMIa,-5.652575,-6.684656,-7.716737,-8.748818,-9.7809,-10.812981,-11.845062,-12.877143,-13.909225,-14.941306
IPPMIb,-5.652575,-6.684656,-7.716737,-8.748818,-9.7809,-10.812981,-11.845062,-12.877143,-13.909225,-14.941306
IPPSm,5.652575,6.684656,7.716737,8.748818,9.7809,10.812981,11.845062,12.877143,13.909225,14.941306
KARA1im,5.777074,6.796842,7.81661,8.836379,9.856147,10.875915,11.895683,12.915451,13.935219,14.954987
OMCDC,5.652575,6.684656,7.716737,8.748818,9.7809,10.812981,11.845062,12.877143,13.909225,14.941306
LEUDH,5.515045,6.560728,7.606411,8.652095,9.697778,10.743461,11.789144,12.834827,13.88051,14.926193
MBCOAi,5.515045,6.560728,7.606411,8.652095,9.697778,10.743461,11.789144,12.834827,13.88051,14.926193
MCCC,5.515045,6.560728,7.606411,8.652095,9.697778,10.743461,11.789144,12.834827,13.88051,14.926193
MGCH,5.515045,6.560728,7.606411,8.652095,9.697778,10.743461,11.789144,12.834827,13.88051,14.926193
DMATTmodi,0.70156,1.029957,1.358354,1.68675,2.015147,2.343544,2.671941,3.000337,3.328734,3.657131
GRTTmodi,0.70156,1.029957,1.358354,1.68675,2.015147,2.343544,2.671941,3.000337,3.328734,3.657131
GGS1_r0373,0.361981,0.723963,1.085944,1.447926,1.809907,2.171889,2.53387,2.895852,3.257833,3.619814
PHYT,0.18099072,0.36198144,0.54297216,0.72396288,0.9049536,1.08594432,1.2669350400000001,1.44792576,1.6289164800000002,1.8099072
