,1,2,3,4,5,6,7,8,9,10
IPPSm,5.079743,5.928139,6.770524,7.598965,8.427406,9.255847,10.084288,10.872612,11.656243,12.439875
KARA1im,5.19438,6.032453,6.864337,7.681866,8.499394,9.316923,10.134451,10.910678,11.682074,12.45347
OMCDC,5.079743,5.928139,6.770524,7.598965,8.427406,9.255847,10.084288,10.872612,11.656243,12.439875
LEUDH,4.953108,5.812908,6.666892,7.507387,8.347883,9.188378,10.028874,10.830561,11.627709,12.424856
MBCOAi,4.953108,5.812908,6.666892,7.507387,8.347883,9.188378,10.028874,10.830561,11.627709,12.424856
MCCC,4.953108,5.812908,6.666892,7.507387,8.347883,9.188378,10.028874,10.830561,11.627709,12.424856
MGCH,4.953108,5.812908,6.666892,7.507387,8.347883,9.188378,10.028874,10.830561,11.627709,12.424856
DMATTmodi,0.612167,0.883498,1.154345,1.424069,1.693793,1.963516,2.23324,2.499733,2.765847,3.031961
GRTTmodi,0.612167,0.883498,1.154345,1.424069,1.693793,1.963516,2.23324,2.499733,2.765847,3.031961
GGS1_r0373,0.29948796,0.59897592,0.8984638799999999,1.19795184,1.4974398,1.7969277599999998,2.09641572,2.39590368,2.69539164,2.9948796
